01a97a92-e302-4f56-a0ab-65f26145ec27.tsv,MDHP-00006-reads
1643927e-03ba-4185-8124-47cd8d0ea96f.tsv,MDPH-00062-reads
1a1b99a2-bb85-41bd-9ba9-eefd8d441892.tsv,MDPH-00059-reads
1aee616d-4cf1-44bc-bb1f-df751bfcd560.tsv,546e72606710c60b7283fca4d5518bec
1d040f16-dc00-4a1e-886e-32a9ba8eb7e5.tsv,MDPH-00022-reads
234e5e73-dbee-46d0-889c-f9550e2c3738.tsv,a64d38ac0dbe2e9ea5d9a6c91065f545
2d99ec06-943a-4c76-939f-9780eee4446f.tsv,MDPH-00032-reads
3e2e8db9-26e8-4343-88df-fd9fa1449dea.tsv,MDPH-00061-reads
3ef407de-01e0-4e9d-8f5f-fa1c9b975a0b.tsv,42f13bf483485fb7b6784427bc5d76f1
422993ca-ffcd-4c9a-9aa2-757bcc2bc283.tsv,MDPH-00065-reads
45ba8aa7-878a-4cd4-873f-4b132e4d69b0.tsv,MDPH-00039-reads
4e3e0d8e-bf3a-469f-a4ac-5855a0595064.tsv,MDPH-00041-reads
51c5a789-8f4b-4684-9dd4-4b84ead91c65.tsv,98bb40265cad2750bc8a830e2ff14f46
526e81aa-ef85-4950-b611-a288884a36db.tsv,MDPH-00028-reads
59fd62ef-60d6-4294-b9f2-0c25a66f13f7.tsv,MDPH-00063-reads
5b203cc5-1832-480f-8baa-343e66aa4fdb.tsv,MDPH-00026-reads
5bfb779c-5de9-48e9-b313-c22eef1b1851.tsv,MDPH-00033-reads
6747f321-5b8b-47a8-a3c5-be366da6cd5a.tsv,67527e3ef19ae2da4656e44165be3f78
674dff6d-6854-4816-8751-da1bb9057927.tsv,MDPH-00016-reads
6efd719a-67de-4d26-87a5-40da1a3eb466.tsv,MDPH-00025-reads
70220cf5-9861-4b39-a727-7e6ff496ad55.tsv,408dc40210a43b8abd0051db77da8c89
72d6565d-05ff-4b30-8f77-7c50eabd78b7.tsv,MDPH-00029-reads
78e9fc51-a0b6-4938-80bf-2369378ba44c.tsv,a1ed515f610a2bd6166b8f04184e707e
7dcf375c-ba9a-49ab-87b9-6ee21c1f32de.tsv,MDPH-00030-reads
7e3187c8-32f5-4a9b-b720-5d9790a2f368.tsv,be4d3de81b3e45a6bfb8f13f16e75145
862710bc-cc42-45d2-9012-43e08663133e.tsv,11f151040e73c172d78b1c5a70efd050
8916f997-7514-4060-a0d2-9e7fb962cec9.tsv,9b30232e012513f75f961bef2e86e827
900303f5-fb53-45f2-9a27-bfa7c8190616.tsv,MDPH-00064-reads
92988b0d-5b4b-4cc3-b72e-fc5ca0eca0d4.tsv,MDPH-00044-reads
96ded76b-d1fa-43f9-a775-e09eecd64aae.tsv,MDPH-00020-reads
9c8b706a-a3ea-44b7-a160-70aed244c207.tsv,a81f4029fe6fce0d8dc36a5247298a5d
9e0dca74-8729-420d-a21e-10607ae2277a.tsv,MDPH-00010-reads
a3ba87a4-ae17-45e7-82d2-7cb0f04ce102.tsv,MDPH-00037-reads
ac4b3eac-8b94-49d0-9795-4d8663b94c80.tsv,MDPH-00035-reads
adca03f9-ed38-4903-a099-862a7eea930b.tsv,MDPH-00036-reads
b24910a0-254a-48fc-a97c-3cc8e5acf39d.tsv,5e2179c6da5f138f79e261ff24f13df5
bad2a048-4144-4e5d-a665-00dc24f74e53.tsv,MDPH-00038-reads
c20433ae-69eb-4fe4-a513-7fee42a929c3.tsv,MDPH-00031-reads
c23effb9-b632-48dc-ba1c-228208e0bf01.tsv,32817524961f3534221304c91e193cb8
c2d4761b-6a2b-41ae-983e-16503773b136.tsv,MDPH-00015-reads
d6d01a24-1636-478d-84a3-d95cd1393290.tsv,fae3e4be2671d22948226859f8308dcf
e7f0e9e6-f45f-4ab1-9183-616be3bf694e.tsv,8a35fb8e5cd9ffeece0638f1587fec89
ef46e69c-4358-4489-8357-0701e6a09a1a.tsv,MDPH-00024-reads
f57efed3-d7c5-42d9-8900-ee981d50db70.tsv,MDPH-00023-reads
f65ece37-b0ad-44e8-b087-637f42122f9b.tsv,MDPH-00043-reads
f73b99f2-87c0-49a9-b956-653d56230592.tsv,0bff5c880e3e37f8f1ac0f583ce817b9
